title,url,difficulty,platform,topics,is_premium,frequency
Two Sum,https://leetcode.com/problems/two-sum/ ,Easy,LeetCode,"Array, Hash Table",False,0.95
Reverse Linked List,https://leetcode.com/problems/reverse-linked-list/ ,Easy,LeetCode,"Linked List",False,0.85
Merge Two Sorted Lists,https://leetcode.com/problems/merge-two-sorted-lists/ ,Easy,LeetCode,"Linked List",False,0.80
Valid Parentheses,https://leetcode.com/problems/valid-parentheses/ ,Easy,LeetCode,"Stack",False,0.75
Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/ ,Easy,LeetCode,"Array, Dynamic Programming",False,0.90
Single Number,https://leetcode.com/problems/single-number/ ,Easy,LeetCode,"Bit Manipulation",False,0.70
Climbing Stairs,https://leetcode.com/problems/climbing-stairs/ ,Easy,LeetCode,"Dynamic Programming",False,0.85
Maximum Subarray,https://leetcode.com/problems/maximum-subarray/ ,Easy,LeetCode,"Array, Dynamic Programming",False,0.90
Binary Search,https://leetcode.com/problems/binary-search/ ,Easy,LeetCode,"Binary Search",False,0.75
Add Two Numbers,https://leetcode.com/problems/add-two-numbers/ ,Medium,LeetCode,"Linked List, Math",False,0.85
Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/ ,Medium,LeetCode,"Sliding Window, Hash Map",False,0.92
Container With Most Water,https://leetcode.com/problems/container-with-most-water/ ,Medium,LeetCode,"Two Pointers",False,0.80
3Sum,https://leetcode.com/problems/3sum/ ,Medium,LeetCode,"Two Pointers, Sorting",False,0.90
Remove Nth Node From End of List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/ ,Medium,LeetCode,"Linked List, Two Pointers",False,0.75
Valid Palindrome,https://leetcode.com/problems/valid-palindrome/ ,Easy,LeetCode,"Two Pointers",False,0.65
Implement strStr(),https://leetcode.com/problems/implement-strstr/ ,Easy,LeetCode,"String Matching",False,0.60
Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/ ,Easy,LeetCode,"Linked List, Two Pointers",False,0.75
Intersection of Two Linked Lists,https://leetcode.com/problems/intersection-of-two-linked-lists/ ,Easy,LeetCode,"Linked List",False,0.70
Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/ ,Easy,LeetCode,"Linked List",False,0.65
Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/ ,Easy,LeetCode,"Tree",False,0.75
Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/ ,Easy,LeetCode,"Tree",False,0.70
Symmetric Tree,https://leetcode.com/problems/symmetric-tree/ ,Easy,LeetCode,"Tree",False,0.75
Path Sum,https://leetcode.com/problems/path-sum/ ,Easy,LeetCode,"Tree",False,0.65
Same Tree,https://leetcode.com/problems/same-tree/ ,Easy,LeetCode,"Tree",False,0.65
Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/ ,Easy,LeetCode,"Tree",False,0.65
Minimum Depth of Binary Tree,https://leetcode.com/problems/minimum-depth-of-binary-tree/ ,Easy,LeetCode,"Tree",False,0.60
Binary Tree Level Order Traversal,https://leetcode.com/problems/binary-tree-level-order-traversal/ ,Medium,LeetCode,"Tree, BFS",False,0.80
Binary Tree Inorder Traversal,https://leetcode.com/problems/binary-tree-inorder-traversal/ ,Medium,LeetCode,"Tree",False,0.70
Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/ ,Medium,LeetCode,"Tree, DFS",False,0.75
Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/ ,Medium,LeetCode,"Tree, DFS",False,0.80
Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/ ,Easy,LeetCode,"Tree",False,0.70
